站点,站点,站点,站点,站点,站点,站点,站点,站点,站点,站点,站点,站点,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,站点,经度,纬度,站点名称,,,,,,,,,,,,,,
115,204,229,84,184,82,131,150,5,48,179,156,线路22,1302,105774331,105774331,晓城春天,1408,105762821,105762821,街心花园,1436,105785644,105785644,龙滩子办事处,1266,105785021,105785021,双佛寺,1387,105727866,105727866,城南加气站,1264,105767193,105767193,双桥公园,1318,105758640,105758640,红岩汽修厂,1340,105794511,105794511,花样龙水湖景区,806,105729141,105729141,区广电大厦,1226,105769968,105769968,黄桷花园,1382,105698914,105698914,西门桥食品公司,1355,105740984,105740984,高铁大足南站,,,,,,,,21,1190,,1190,105739961,29619776,水车铺
18,143,26,222,89,146,40,122,228,54,8,138,线路23,1187,105719873,105719873,大足区电信局,1332,105764963,105764963,上官楼,1195,105759022,105759022,龙水大桥,1428,105755008,105755008,还房新村路口,1271,105772569,105772569,横店村,1336,105741442,105741442,长龙农业,1216,105726612,105726612,大足区妇幼保健院,1309,105727981,105727981,宏运商业城,1435,105786116,105786116,天星大桥,1233,105713830,105713830,丁家坡,1177,105763747,105763747,东升苑,1325,105770529,105770529,观岳山小区,,,,,,,,22,1191,,1191,105738106,29625786,车铺村
75,190,15,43,154,54,191,122,151,109,21,108,线路24,1255,105683210,105683210,明星,1394,105720436,105720436,较场口,1184,105749186,105749186,龙西岔路口,1221,105750631,105750631,天福村,1348,105744113,105744113,绿地海棠湾,1233,105713830,105713830,丁家坡,1395,105723912,105723912,龙岗卫生院,1309,105727981,105727981,宏运商业城,1345,105709983,105709983,区中医院,1295,105766138,105766138,经开区人民医院,1190,105739961,105739961,水车铺,1294,105760880,105760880,城市枫景,,,,,,,,23,1192,,1192,105771195,29565087,龙水镇政府
160,105,140,79,56,224,100,234,61,173,135,22,线路25,1359,105762037,105762037,老粮站,1288,105737407,105737407,双塔中学,1328,105786809,105786809,重庆正大软件学院,1259,105768851,105768851,西湖丽都,1235,105768835,105768835,高坡1队,1430,105796527,105796527,沙桥二队,1282,105774127,105774127,车城印象,1441,105761139,105761139,龙水汽车站,1240,105750299,105750299,巨腾国际,1376,105736551,105736551,清明桥,1322,105752509,105752509,倒庙六队,1191,105738106,105738106,车铺村,,,,,,,,24,1193,,1193,105726873,29680609,南门派出所
160,29,80,105,221,49,23,72,175,100,165,27,线路26,1359,105762037,105762037,老粮站,1198,105727301,105727301,龙腾御景,1262,105748225,105748225,艾诺斯,1288,105737407,105737407,双塔中学,1427,105763573,105763573,德恒物业城东口,1227,105772003,105772003,车城广场,1192,105771195,105771195,龙水镇政府,1251,105717779,105717779,大足印象,1378,105736987,105736987,区人民医院,1282,105774127,105774127,车城印象,1368,105786490,105786490,长河煤矿,1196,105727033,105727033,区行政服务中心,,,,,,,,25,1194,,1194,105736681,29631601,一号子口
201,198,49,144,125,18,75,76,155,21,8,6,线路27,1405,105793550,105793550,宝顶山博物馆,1402,105760413,105760413,瑞鑫商城,1227,105772003,105772003,车城广场,1333,105797717,105797717,水塔,1312,105777594,105777594,香山社区六队,1187,105719873,105719873,大足区电信局,1255,105683210,105683210,明星,1256,105717835,105717835,大足区交委,1354,105736964,105736964,烈火四队,1190,105739961,105739961,水车铺,1177,105763747,105763747,东升苑,913,105788196,105788196,西湖变电站,,,,,,,,26,1195,,1195,105759022,29566140,龙水大桥
76,155,25,29,118,189,183,95,231,3,87,158,线路28,1256,105717835,105717835,大足区交委,1354,105736964,105736964,烈火四队,1194,105736681,105736681,一号子口,1198,105727301,105727301,龙腾御景,1305,105770407,105770407,开山工业园,1393,105708243,105708243,十字口,1386,105729978,105729978,城南创新小学,1277,105780285,105780285,千叶广场,1438,105771349,105771349,山水名都小区南,617,105762022,105762022,老粮站,1269,105745772,105745772,大晒坝,1357,105810485,105810485,大龙湾酒店,,,,,,,,27,1196,,1196,105727033,29689327,区行政服务中心
121,38,205,172,154,85,197,75,44,8,30,194,线路29,1308,105711913,105711913,实验幼儿园,1213,105791035,105791035,双桥龙滩子,1411,105797394,105797394,二片区,1375,105732371,105732371,香山美地,1348,105744113,105744113,绿地海棠湾,1267,105743574,105743574,金竹桥,1401,105741699,105741699,转洞桥,1255,105683210,105683210,明星,1222,105751947,105751947,红林村,1177,105763747,105763747,东升苑,1199,105727953,105727953,西南城,1398,105733253,105733253,蓝湖星宇,,,,,,,,28,1197,,1197,105760181,29563782,大足区第二人民医
58,33,183,219,51,147,97,187,180,93,224,100,线路30,1237,105763029,105763029,九节河,1205,105752095,105752095,五金市场,1386,105729978,105729978,城南创新小学,1425,105807809,105807809,龙水温泉中心,1230,105757610,105757610,还房新村,1337,105791804,105791804,白鹤家园,1279,105742101,105742101,双湖招抚站,1391,105703372,105703372,西门桥,1383,105701580,105701580,区交巡警支队,1275,105767388,105767388,公园路,1430,105796527,105796527,沙桥二队,1282,105774127,105774127,车城印象,,,,,,,,29,1198,,1198,105727301,29676340,龙腾御景
74,15,129,69,44,115,105,90,214,47,223,96,线路31,1253,105766801,105766801,渡槽,1184,105749186,105749186,龙西岔路口,1316,105766667,105766667,双路公园,1248,105773738,105773738,大足一中,1222,105751947,105751947,红林村,1302,105774331,105774331,晓城春天,1288,105737407,105737407,双塔中学,1272,105773872,105773872,高坝桥,1420,105758465,105758465,红岩汽修厂,1225,105748350,105748350,邮亭派出所,1429,105760093,105760093,德恒物业城,1278,105793833,105793833,二片区,,,,,,,,30,1199,,1199,105727953,29669619,西南城
