,,,上客,,,,,下客
3579,106518357,29384396,486.747085,,2924,106524459,29584263,479.947376
3580,106518462,29386435,433.115506,,107-1,经度,维度,34207.94858
3581,106518610,29386902,497.90498,,2926,106572699,29633294,1391.672206
3582,106516151,29388675,490.220769,,2927,106575695,29628421,1992.819329
3583,106513706,29389449,468.378664,,2928,106578738,29623003,2025.729402
3584,106511559,29389994,459.957612,,2929,106579475,29619691,2683.934898
3585,106509421,29390280,409.90498,,2930,106573450,29612901,2373.16222
3586,106507889,29390547,359.062875,,2931,106567864,29608070,2540.070721
3587,106505476,29388709,317.13223,,2932,106565847,29602837,2638.313714
3588,106502652,29389994,270.684211,,2933,106558634,29591523,2347.821773
3589,106500559,29390902,219.684211,,2934,106556410,29584684,1877.083474
3591,106533919,29378851,563.985122,,2935,106554147,29582396,1742.63719
3592,106531785,29378938,824.827227,,2936,106549214,29578517,2012.330274
3593,106529481,29379045,1223.73108,,2937,106540613,29575627,2230.481058
3594,106527960,29379246,1511.152132,,2938,106536901,29576377,2366.679961
3595,106523856,29379975,1600.73108,,2939,106532436,29578842,2211.607893
3596,106523574,29382436,1806.257395,,2940,106524459,29584263,1124.965137
3597,106521540,29382976,1947.489823,,45550,106576034,29616482,2648.639334
3598,106518165,29384486,1966.489823,,107-2,经度,维度,36141.50486
3599,106516321,29384409,1985.016139,,21697,106522025,29589316,2452.046464
3600,106516146,29383013,1934.542455,,21698,106525449,29582619,2253.515908
3601,106514064,29382536,1771.994237,,21699,106532577,29576527,1990.45558
3602,106511256,29383108,1696.204764,,21700,106540853,29575756,1975.560678
3603,106508573,29383802,1541.736842,,21701,106549135,29578449,2087.53654
3604,106506052,29383725,1361.631579,,21702,106553779,29581235,2434.213359
3605,106504648,29383692,1339.421053,,21703,106556410,29584684,2710.957989
3606,106503127,29383847,1189.315789,,21704,106559002,29592037,2599.445658
3607,106499931,29384160,707.894737,,21705,106565953,29603065,2347.538306
3608,106495983,29384543,435.315789,,21706,106567721,29607277,2029.858892
3609,106492485,29384893,249.578947,,21707,106573416,29612866,2340.905188
3611,106491356,29385034,364.526316,,21708,106579417,29619649,2867.592231
3612,106492537,29384888,614.421053,,21709,106578768,29622969,2901.599417
3614,106500241,29384135,1827.087249,,21710,106575695,29628421,2465.735434
3615,106502144,29383943,2124.941599,,52076,106536723,29576456,2684.543219
